sex_name,year,val
Female,1980,1745313.4152853389
Female,1981,1771166.1292317207
Female,1982,1787309.357334125
Female,1983,1820681.0694193002
Female,1984,1856212.051650254
Female,1985,1893940.4619982976
Female,1986,1913978.9636420228
Female,1987,1954183.884485702
Female,1988,1990535.1646797531
Female,1989,2031292.7751573795
Female,1990,2057244.357157199
Female,1991,2090984.3271177919
Female,1992,2129423.5356998257
Female,1993,2172531.59132896
Female,1994,2212348.8330017827
Female,1995,2244599.700704864
Female,1996,2266634.8209049758
Female,1997,2289137.5130331283
Female,1998,2322081.050665993
Female,1999,2365647.860970886
Female,2000,2406328.4287618143
Female,2001,2441492.8715440123
Female,2002,2479272.633009388
Female,2003,2519776.5408208687
Female,2004,2553938.977814194
Female,2005,2584502.011642794
Female,2006,2595544.9847686472
Female,2007,2627351.335989786
Female,2008,2675860.939013711
Female,2009,2718709.7421500464
Female,2010,2763070.154654041
Female,2011,2811419.545088895
Female,2012,2853883.3465508586
Female,2013,2901507.7384877093
Female,2014,2961098.5732814404
Female,2015,3030434.361437018
Female,2016,3115996.9052478913
Female,2017,3185100.3404425075
Female,2018,3265537.379094049
Female,2019,3339296.4025248075
Female,2020,3383053.8255218193
Female,2021,3458275.9603943196
Male,1980,2258571.5220986325
Male,1981,2293021.319948176
Male,1982,2327771.6226652027
Male,1983,2378558.1649913476
Male,1984,2432407.989211077
Male,1985,2479843.836261599
Male,1986,2493644.0692042382
Male,1987,2570772.2604018785
Male,1988,2634382.70467409
Male,1989,2705987.874673647
Male,1990,2761452.6473317533
Male,1991,2811487.1072564777
Male,1992,2867709.8876858507
Male,1993,2929907.347455977
Male,1994,2977804.3082119664
Male,1995,3030393.4138034736
Male,1996,3057497.3447040496
Male,1997,3085272.490015216
Male,1998,3137649.3968521142
Male,1999,3199129.8806177457
Male,2000,3280216.611019715
Male,2001,3339366.2636376936
Male,2002,3396029.977452144
Male,2003,3464525.437373959
Male,2004,3528314.4872474517
Male,2005,3572922.1551835323
Male,2006,3567621.8550726953
Male,2007,3615159.0205998705
Male,2008,3698699.625901425
Male,2009,3772215.1555877137
Male,2010,3852821.731529414
Male,2011,3916750.9041482843
Male,2012,3983740.378443042
Male,2013,4043311.7341463063
Male,2014,4104886.2771341237
Male,2015,4186420.731214779
Male,2016,4281496.651857728
Male,2017,4340922.40489311
Male,2018,4429113.2106005205
Male,2019,4527040.52566263
Male,2020,4600386.093289364
Male,2021,4674298.395311744
